word	frequency	misspellings	corrected_form	phonetic_code	edit_distance	syllables	pos_tag	ngram_prefix	ngram_suffix	language_model_score	context_category
acommodate	100	acommodate	accommodate	ACCO	1	1	NN	ac	te	0.85	general
achive	101	achive	achieve	ACHI	1	1	NN	ac	ve	0.85	general
accross	102	accross	across	ACRO	1	1	NN	ac	ss	0.85	general
adress	103	adress	address	ADDR	1	1	NN	ad	ss	0.85	general
agrre	104	agrre	agree	AGRE	1	1	NN	ag	ee	0.85	general
allready	105	allready	already	ALRE	1	1	NN	al	dy	0.85	general
alot	106	alot	a lot	A LO	1	2	NN	a 	ot	0.85	general
altough	107	altough	although	ALTH	1	1	NN	al	gh	0.85	general
amature	108	amature	amateur	AMAT	1	1	NN	am	ur	0.85	general
anual	109	anual	annual	ANNU	1	1	NN	an	al	0.85	general
aparent	110	aparent	apparent	APPA	1	1	NN	ap	nt	0.85	general
apperance	111	apperance	appearance	APPE	1	1	NN	ap	ce	0.85	general
arguement	112	arguement	argument	ARGU	1	1	NN	ar	nt	0.85	general
assasinate	113	assasinate	assassinate	ASSA	1	1	NN	as	te	0.85	general
basicly	114	basicly	basically	BASI	1	1	NN	ba	ly	0.85	general
becuase	115	becuase	because	BECA	1	1	NN	be	se	0.85	general
begining	116	begining	beginning	BEGI	1	1	NN	be	ng	0.85	general
beleive	117	beleive	believe	BELI	1	1	NN	be	ve	0.85	general
calender	118	calender	calendar	CALE	1	1	NN	ca	ar	0.85	general
carribean	119	carribean	caribbean	CARI	1	1	NN	ca	an	0.85	general
catagory	120	catagory	category	CATE	1	1	NN	ca	ry	0.85	general
cemetary	121	cemetary	cemetery	CEME	1	1	NN	ce	ry	0.85	general
changable	122	changable	changeable	CHAN	1	1	NN	ch	le	0.85	general
cheif	123	cheif	chief	CHIE	1	1	NN	ch	ef	0.85	general
collegue	124	collegue	colleague	COLL	1	1	NN	co	ue	0.85	general
comming	125	comming	coming	COMI	1	1	NN	co	ng	0.85	general
commitee	126	commitee	committee	COMM	1	1	NN	co	ee	0.85	general
competance	127	competance	competence	COMP	1	1	NN	co	ce	0.85	general
completly	128	completly	completely	COMP	1	1	NN	co	ly	0.85	general
concious	129	concious	conscious	CONS	1	1	NN	co	us	0.85	general
congradulate	130	congradulate	congratulate	CONG	1	1	NN	co	te	0.85	general
consistant	131	consistant	consistent	CONS	1	1	NN	co	nt	0.85	general
convience	132	convience	convenience	CONV	1	1	NN	co	ce	0.85	general
criticise	133	criticise	criticize	CRIT	1	1	NN	cr	ze	0.85	general
curiousity	134	curiousity	curiosity	CURI	1	1	NN	cu	ty	0.85	general
curriculem	135	curriculem	curriculum	CURR	1	1	NN	cu	um	0.85	general
definately	136	definately	definitely	DEFI	1	1	NN	de	ly	0.85	general
dependant	137	dependant	dependent	DEPE	1	1	NN	de	nt	0.85	general
desparate	138	desparate	desperate	DESP	1	1	NN	de	te	0.85	general
diffrent	139	diffrent	different	DIFF	1	1	NN	di	nt	0.85	general
dilemna	140	dilemna	dilemma	DILE	1	1	NN	di	ma	0.85	general
disapear	141	disapear	disappear	DISA	1	1	NN	di	ar	0.85	general
discribe	142	discribe	describe	DESC	1	1	NN	de	be	0.85	general
doesnt	143	doesnt	doesn't	DOES	1	1	NN	do	't	0.85	general
embarass	144	embarass	embarrass	EMBA	1	1	NN	em	ss	0.85	general
enviroment	145	enviroment	environment	ENVI	1	1	NN	en	nt	0.85	general
equiptment	146	equiptment	equipment	EQUI	1	1	NN	eq	nt	0.85	general
especally	147	especally	especially	ESPE	1	1	NN	es	ly	0.85	general
everywere	148	everywere	everywhere	EVER	1	1	NN	ev	re	0.85	general
exagerate	149	exagerate	exaggerate	EXAG	1	1	NN	ex	te	0.85	general
excede	150	excede	exceed	EXCE	1	1	NN	ex	ed	0.85	general
existance	151	existance	existence	EXIS	1	1	NN	ex	ce	0.85	general
experiance	152	experiance	experience	EXPE	1	1	NN	ex	ce	0.85	general
explaination	153	explaination	explanation	EXPL	1	1	NN	ex	on	0.85	general
expresso	154	expresso	espresso	ESPR	1	1	NN	es	so	0.85	general
familar	155	familar	familiar	FAMI	1	1	NN	fa	ar	0.85	general
facinate	156	facinate	fascinate	FASC	1	1	NN	fa	te	0.85	general
febuary	157	febuary	february	FEBR	1	1	NN	fe	ry	0.85	general
finaly	158	finaly	finally	FINA	1	1	NN	fi	ly	0.85	general
foriegn	159	foriegn	foreign	FORE	1	1	NN	fo	gn	0.85	general
fourty	160	fourty	forty	FORT	1	1	NN	fo	ty	0.85	general
freind	161	freind	friend	FRIE	1	1	NN	fr	nd	0.85	general
fullfil	162	fullfil	fulfill	FULF	1	1	NN	fu	ll	0.85	general
fundemental	163	fundemental	fundamental	FUND	1	1	NN	fu	al	0.85	general
goverment	164	goverment	government	GOVE	1	1	NN	go	nt	0.85	general
gratefull	165	gratefull	grateful	GRAT	1	1	NN	gr	ul	0.85	general
grammer	166	grammer	grammar	GRAM	1	1	NN	gr	ar	0.85	general
garantee	167	garantee	guarantee	GUAR	1	1	NN	gu	ee	0.85	general
guidence	168	guidence	guidance	GUID	1	1	NN	gu	ce	0.85	general
happend	169	happend	happened	HAPP	1	1	NN	ha	ed	0.85	general
harrass	170	harrass	harass	HARA	1	1	NN	ha	ss	0.85	general
heighth	171	heighth	height	HEIG	1	1	NN	he	ht	0.85	general
heirarchy	172	heirarchy	hierarchy	HIER	1	1	NN	hi	hy	0.85	general
humerous	173	humerous	humorous	HUMO	1	1	NN	hu	us	0.85	general
hygeine	174	hygeine	hygiene	HYGI	1	1	NN	hy	ne	0.85	general
